analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,profile_label,actual_boundary,primary_spaced_outer,accepted
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-020,-20,inner_pseudo,limited_inner_checks,Park dominant,1.0997904891953,0.0114224589118989,1.07740288111309,1.12217809727751,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Neither actor dominant,0.270553613703501,0.159489335801213,-0.0420397403850911,0.583146967792093,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Militia dominant,0.592841245944301,0.123535278840763,0.350716548596293,0.83496594329231,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park dominant,0.54446498369417,0.246377196224206,0.0615745524827684,1.02735541490557,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Neither actor dominant,0.33974614689754,0.198647130146899,-0.0495950738226223,0.729087367617703,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Militia dominant,0.0699467878795665,0.169756488276806,-0.262769815284968,0.402663391044101,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park dominant,-0.00583579932254547,0.237347460895062,-0.471028274498896,0.459356675853805,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Neither actor dominant,-0.846081473790374,0.227997755104005,-1.29294886235021,-0.399214085230542,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Fragmented control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Militia dominant,-0.897845233263081,0.311625133975982,-1.50861927253348,-0.287071193992687,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Militia-centred control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park dominant,-1.43025410197535,0.260646937876377,-1.9411127128937,-0.919395491057002,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Park-centred control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Neither actor dominant,0.286485847450869,0.229996977828128,-0.16429994564532,0.737271640547059,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Fragmented control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Militia dominant,0.221756230967078,0.137786166542745,-0.048299693024539,0.491812154958695,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Militia-centred control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park dominant,-0.346961114977916,0.158116616597485,-0.656863988866315,-0.0370582410895171,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Park-centred control,TRUE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Neither actor dominant,0.21468390004868,0.143341536195558,-0.0662603483832574,0.495628148480617,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Militia dominant,0.200523485712963,0.235390675470375,-0.260833760505528,0.661880731931454,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Park dominant,-0.568106587736471,0.162964293081332,-0.887510732941911,-0.24870244253103,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Neither actor dominant,0.0123308998615213,0.190364196037416,-0.360776068317737,0.385437868040779,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Militia dominant,0.622129773803596,0.376784066956122,-0.116353427378932,1.36061297498612,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Park dominant,0.49917482690979,0.385929332555153,-0.257232765475891,1.25558241929547,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Neither actor dominant,-0.393020074090525,0.158342221317378,-0.703365125104655,-0.0826750230763947,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Fragmented control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Militia dominant,0.131993576123983,0.237694534591942,-0.333879150998233,0.597866303246198,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Militia-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Park dominant,-0.417479666537035,0.1262682932587,-0.664960973713428,-0.169998359360642,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Park-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Neither actor dominant,-0.00217248540697795,0.226578560475671,-0.446258303608223,0.441913332794267,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Fragmented control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Militia dominant,-0.268130430971688,0.197399336167648,-0.655026020432392,0.118765158489016,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Militia-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,primary_spaced_outer;all_valid_outer,outer_c+020,20,outer_pseudo,primary_spaced_outer;all_valid_outer,Park dominant,-0.200567225262884,0.179727509159649,-0.552826670246888,0.15169221972112,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Park-centred control,FALSE,TRUE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Neither actor dominant,-0.207550213143212,0.297981817427424,-0.791583843348753,0.376483417062329,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Militia dominant,-0.190605582936496,0.220086176685898,-0.621966562735975,0.240755396862983,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Militia-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Park dominant,-0.324021470345041,0.139257234671613,-0.596960634888044,-0.0510823058020368,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Tree-cover loss,Park-centred control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Neither actor dominant,-0.569392247035318,0.183474814177081,-0.928996274892575,-0.209788219178061,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Fragmented control,FALSE,FALSE,TRUE
revised spatial pseudo-boundary falsification,agriculture,tau025,all_valid_outer,outer_c+025,25,outer_pseudo,all_valid_outer,Militia dominant,-1.20073708806059,0.349437694396367,-1.88562238391818,-0.515851792202997,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_profile_estimates.csv,Agricultural expansion,Militia-centred control,FALSE,FALSE,TRUE
