outcome,governance_profile,threshold_tag,spatial_design,estimate,lower_95_ci,upper_95_ci,method,reference_estimate,absolute_deviation_from_reference,ci_crosses_zero,Outcome,Profile,Domain,Threshold,Scenario,Estimand type,Profile or comparison,primary_row,fit_display
fire,Militia-centred control,tau050,buffer_20km,0.0475875017650301,,,fire_beta_binomial,0.0548156654010484,0.0072281636360183,,Fire,Militia-centred control,20 km,50%,50% 20 km,Profile contrast,Militia-centred control,FALSE,non-strict fire fit
fire,Fragmented control,tau010,all_cells,0.201149262437525,0.107456854378909,0.294841670496142,fire_beta_binomial,0.192983453949622,0.00816580848790319,FALSE,Fire,Fragmented control,All cells,10%,10% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau010,buffer_05km,0.0860206433979898,,,fire_beta_binomial,0.192983453949622,0.106962810551632,,Fire,Fragmented control,5 km,10%,10% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau010,buffer_10km,0.155681920833334,,,fire_beta_binomial,0.192983453949622,0.0373015331162886,,Fire,Fragmented control,10 km,10%,10% 10 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau010,buffer_20km,0.190407125425269,,,fire_beta_binomial,0.192983453949622,0.00257632852435361,,Fire,Fragmented control,20 km,10%,10% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau025,all_cells,0.192983453949622,0.0899105339577348,0.296056373941509,fire_beta_binomial,0.192983453949622,0,FALSE,Fire,Fragmented control,All cells,25%,25% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau025,buffer_05km,0.0918668703928283,,,fire_beta_binomial,0.192983453949622,0.101116583556794,,Fire,Fragmented control,5 km,25%,25% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau025,buffer_10km,0.170288429758373,0.111989185194311,0.228587674322435,fire_beta_binomial,0.192983453949622,0.0226987202027782,FALSE,Fire,Fragmented control,10 km,25%,25% 10 km,Profile contrast,Fragmented control,TRUE,accepted or diagnostic fit
fire,Fragmented control,tau025,buffer_20km,0.193955801128808,,,fire_beta_binomial,0.192983453949622,0.000972347179185734,,Fire,Fragmented control,20 km,25%,25% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
fire,Fragmented control,tau050,all_cells,0.187245502055307,,,fire_beta_binomial,0.192983453949622,0.00573795189431472,,Fire,Fragmented control,All cells,50%,50% All cells,Profile contrast,Fragmented control,FALSE,non-strict fire fit
fire,Fragmented control,tau050,buffer_05km,0.089934715748369,,,fire_beta_binomial,0.192983453949622,0.103048738201253,,Fire,Fragmented control,5 km,50%,50% 5 km,Profile contrast,Fragmented control,FALSE,non-strict fire fit
fire,Fragmented control,tau050,buffer_10km,0.179420846133153,,,fire_beta_binomial,0.192983453949622,0.0135626078164695,,Fire,Fragmented control,10 km,50%,50% 10 km,Profile contrast,Fragmented control,FALSE,non-strict fire fit
fire,Fragmented control,tau050,buffer_20km,0.204066752640794,,,fire_beta_binomial,0.192983453949622,0.0110832986911718,,Fire,Fragmented control,20 km,50%,50% 20 km,Profile contrast,Fragmented control,FALSE,non-strict fire fit
fire,Park-centred control,tau010,all_cells,0.0935734937030281,-0.00234207006731683,0.189489057473373,fire_beta_binomial,0.118601107601585,0.0250276138985565,TRUE,Fire,Park-centred control,All cells,10%,10% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Park-centred control,tau010,buffer_05km,-0.00110001121291069,,,fire_beta_binomial,0.118601107601585,0.119701118814495,,Fire,Park-centred control,5 km,10%,10% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Park-centred control,tau010,buffer_10km,0.0431466017176489,,,fire_beta_binomial,0.118601107601585,0.0754545058839357,,Fire,Park-centred control,10 km,10%,10% 10 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Park-centred control,tau010,buffer_20km,0.103187992030275,,,fire_beta_binomial,0.118601107601585,0.0154131155713099,,Fire,Park-centred control,20 km,10%,10% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Park-centred control,tau025,all_cells,0.118601107601585,0.0131637707257074,0.224038444477462,fire_beta_binomial,0.118601107601585,0,FALSE,Fire,Park-centred control,All cells,25%,25% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Park-centred control,tau025,buffer_05km,0.00729583031224175,,,fire_beta_binomial,0.118601107601585,0.111305277289343,,Fire,Park-centred control,5 km,25%,25% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Park-centred control,tau025,buffer_10km,0.0678282180423288,0.00794648332778246,0.127709952756875,fire_beta_binomial,0.118601107601585,0.0478782028941181,FALSE,Fire,Park-centred control,10 km,25%,25% 10 km,Profile contrast,Park-centred control,TRUE,accepted or diagnostic fit
fire,Park-centred control,tau025,buffer_20km,0.143636087207339,,,fire_beta_binomial,0.118601107601585,0.0250349796057545,,Fire,Park-centred control,20 km,25%,25% 20 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
fire,Park-centred control,tau050,all_cells,0.133701832240373,,,fire_beta_binomial,0.118601107601585,0.0151007246387886,,Fire,Park-centred control,All cells,50%,50% All cells,Profile contrast,Park-centred control,FALSE,non-strict fire fit
fire,Park-centred control,tau050,buffer_05km,0.0129186899389982,,,fire_beta_binomial,0.118601107601585,0.105682417662586,,Fire,Park-centred control,5 km,50%,50% 5 km,Profile contrast,Park-centred control,FALSE,non-strict fire fit
fire,Park-centred control,tau050,buffer_10km,0.0885555419746091,,,fire_beta_binomial,0.118601107601585,0.0300455656269755,,Fire,Park-centred control,10 km,50%,50% 10 km,Profile contrast,Park-centred control,FALSE,non-strict fire fit
fire,Park-centred control,tau050,buffer_20km,0.171304820425151,,,fire_beta_binomial,0.118601107601585,0.0527037128235663,,Fire,Park-centred control,20 km,50%,50% 20 km,Profile contrast,Park-centred control,FALSE,non-strict fire fit
tree_cover_loss,Militia-centred control,tau010,all_cells,-1.94123178931075,-2.60043348023381,-1.28203009838768,sparse_two_stage_weighted,-1.78735867378529,0.153873115525453,FALSE,Tree-cover loss,Militia-centred control,All cells,10%,10% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau010,buffer_05km,-0.464465485104345,-1.04727489700519,0.118343926796496,sparse_two_stage_weighted,-1.78735867378529,1.32289318868095,TRUE,Tree-cover loss,Militia-centred control,5 km,10%,10% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau010,buffer_10km,-1.16978085292463,-1.71368645867306,-0.625875247176199,sparse_two_stage_weighted,-1.78735867378529,0.617577820860666,FALSE,Tree-cover loss,Militia-centred control,10 km,10%,10% 10 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau010,buffer_20km,-1.56452370098575,-2.09211402095056,-1.03693338102095,sparse_two_stage_weighted,-1.78735867378529,0.22283497279954,FALSE,Tree-cover loss,Militia-centred control,20 km,10%,10% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau025,all_cells,-1.78735867378529,-2.49646182629597,-1.07825552127462,sparse_two_stage_weighted,-1.78735867378529,0,FALSE,Tree-cover loss,Militia-centred control,All cells,25%,25% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau025,buffer_05km,-0.381615789227368,-0.944970158934542,0.181738580479807,sparse_two_stage_weighted,-1.78735867378529,1.40574288455793,TRUE,Tree-cover loss,Militia-centred control,5 km,25%,25% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau025,buffer_10km,-0.897845233263081,-1.50861927253348,-0.287071193992687,sparse_two_stage_weighted,-1.78735867378529,0.889513440522211,FALSE,Tree-cover loss,Militia-centred control,10 km,25%,25% 10 km,Profile contrast,Militia-centred control,TRUE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau025,buffer_20km,-1.40017809124029,-2.10377001976524,-0.69658616271533,sparse_two_stage_weighted,-1.78735867378529,0.387180582545007,FALSE,Tree-cover loss,Militia-centred control,20 km,25%,25% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau050,all_cells,-0.859109249919172,-1.34387089089731,-0.374347608941034,sparse_two_stage_weighted,-1.78735867378529,0.92824942386612,FALSE,Tree-cover loss,Militia-centred control,All cells,50%,50% All cells,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau050,buffer_05km,-0.272378268435588,-0.706892163607726,0.16213562673655,sparse_two_stage_weighted,-1.78735867378529,1.5149804053497,TRUE,Tree-cover loss,Militia-centred control,5 km,50%,50% 5 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau050,buffer_10km,-0.334486397764769,-0.815934643901859,0.146961848372321,sparse_two_stage_weighted,-1.78735867378529,1.45287227602052,TRUE,Tree-cover loss,Militia-centred control,10 km,50%,50% 10 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Militia-centred control,tau050,buffer_20km,-0.723004323386336,-1.3023095067102,-0.143699140062473,sparse_two_stage_weighted,-1.78735867378529,1.06435435039896,FALSE,Tree-cover loss,Militia-centred control,20 km,50%,50% 20 km,Profile contrast,Militia-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau010,all_cells,-1.35953924921818,-1.60870969808838,-1.11036880034797,sparse_two_stage_weighted,-1.1717332924866,0.187805956731578,FALSE,Tree-cover loss,Fragmented control,All cells,10%,10% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau010,buffer_05km,-0.351910203111343,-0.769087034324224,0.0652666281015386,sparse_two_stage_weighted,-1.1717332924866,0.819823089375254,TRUE,Tree-cover loss,Fragmented control,5 km,10%,10% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau010,buffer_10km,-0.882619985667311,-1.20377774689139,-0.561462224443235,sparse_two_stage_weighted,-1.1717332924866,0.289113306819286,FALSE,Tree-cover loss,Fragmented control,10 km,10%,10% 10 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau010,buffer_20km,-1.09956463366783,-1.41030828908055,-0.788820978255101,sparse_two_stage_weighted,-1.1717332924866,0.07216865881877,FALSE,Tree-cover loss,Fragmented control,20 km,10%,10% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau025,all_cells,-1.1717332924866,-1.7272551533537,-0.616211431619489,sparse_two_stage_weighted,-1.1717332924866,0,FALSE,Tree-cover loss,Fragmented control,All cells,25%,25% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau025,buffer_05km,-0.269069791875303,-0.715546708515628,0.177407124765023,sparse_two_stage_weighted,-1.1717332924866,0.902663500611294,TRUE,Tree-cover loss,Fragmented control,5 km,25%,25% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau025,buffer_10km,-0.846081473790374,-1.29294886235021,-0.399214085230542,sparse_two_stage_weighted,-1.1717332924866,0.325651818696223,FALSE,Tree-cover loss,Fragmented control,10 km,25%,25% 10 km,Profile contrast,Fragmented control,TRUE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau025,buffer_20km,-0.986132733969093,-1.43676702328889,-0.535498444649298,sparse_two_stage_weighted,-1.1717332924866,0.185600558517503,FALSE,Tree-cover loss,Fragmented control,20 km,25%,25% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau050,all_cells,0.00357006222815789,-0.884323488066092,0.891463612522408,sparse_two_stage_weighted,-1.1717332924866,1.17530335471475,TRUE,Tree-cover loss,Fragmented control,All cells,50%,50% All cells,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau050,buffer_05km,0.424320241664272,0.218475087104358,0.630165396224187,sparse_two_stage_weighted,-1.1717332924866,1.59605353415087,FALSE,Tree-cover loss,Fragmented control,5 km,50%,50% 5 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau050,buffer_10km,0.0540757058438248,-0.332273708043562,0.440425119731212,sparse_two_stage_weighted,-1.1717332924866,1.22580899833042,TRUE,Tree-cover loss,Fragmented control,10 km,50%,50% 10 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Fragmented control,tau050,buffer_20km,0.130351009918078,-0.295880327092436,0.556582346928592,sparse_two_stage_weighted,-1.1717332924866,1.30208430240467,TRUE,Tree-cover loss,Fragmented control,20 km,50%,50% 20 km,Profile contrast,Fragmented control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau010,all_cells,-2.06980808506295,-2.58243876160771,-1.55717740851818,sparse_two_stage_weighted,-2.60387496661614,0.534066881553193,FALSE,Tree-cover loss,Park-centred control,All cells,10%,10% All cells,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
tree_cover_loss,Park-centred control,tau010,buffer_05km,-1.08686147387148,-1.47065733114884,-0.703065616594117,sparse_two_stage_weighted,-2.60387496661614,1.51701349274466,FALSE,Tree-cover loss,Park-centred control,5 km,10%,10% 5 km,Profile contrast,Park-centred control,FALSE,accepted or diagnostic fit
