Outcome,Boundary centre,Boundary role,Comparison,Estimate,Lower 95%,Upper 95%,Fit validity,Boundary-specificity classification
Agricultural expansion,15,dense outer gradient,Park-centred control minus Fragmented control,0.486843927048269,-0.405722457424135,1.37941031152067,accepted two-stage estimate,
Agricultural expansion,20,primary spaced outer boundary,Park-centred control minus Fragmented control,-0.198394739855906,-0.743588218787147,0.346798739075335,accepted two-stage estimate,
Agricultural expansion,25,dense outer gradient,Park-centred control minus Fragmented control,-0.298657714341659,-1.11267560675409,0.515360178070776,accepted two-stage estimate,
Agricultural expansion,30,dense outer gradient,Park-centred control minus Fragmented control,0.459613626719356,-0.109133519933211,1.02836077337192,accepted two-stage estimate,
Agricultural expansion,35,dense outer gradient,Park-centred control minus Fragmented control,-0.0916013657942442,-0.396101941073731,0.212899209485243,accepted two-stage estimate,
Agricultural expansion,40,primary spaced outer boundary,Park-centred control minus Fragmented control,-0.37381302289078,-0.936270132030968,0.188644086249407,accepted two-stage estimate,
Agricultural expansion,45,dense outer gradient,Park-centred control minus Fragmented control,-0.115134085659797,-0.671196632842375,0.440928461522782,accepted two-stage estimate,
Agricultural expansion,50,dense outer gradient,Park-centred control minus Fragmented control,-0.201029914118534,-0.70665288080912,0.304593052572051,accepted two-stage estimate,
Agricultural expansion,55,dense outer gradient,Park-centred control minus Fragmented control,-0.365047950817029,-0.949501697908936,0.219405796274877,accepted two-stage estimate,
Agricultural expansion,60,primary spaced outer boundary,Park-centred control minus Fragmented control,0.255603918952815,-0.104714606569628,0.615922444475259,accepted two-stage estimate,
Agricultural expansion,-20,inner descriptive check,Park-centred control minus Militia-centred control,-0.00896339867776323,-0.0414367488887202,0.0235099515331938,accepted two-stage estimate,
Agricultural expansion,-15,inner descriptive check,Park-centred control minus Militia-centred control,-0.075782587202112,-0.680184093490902,0.528618919086678,accepted two-stage estimate,
Agricultural expansion,0,legal boundary,Park-centred control minus Militia-centred control,-0.568717345944994,-1.00092366706052,-0.136511024829467,accepted two-stage estimate,
Agricultural expansion,15,dense outer gradient,Park-centred control minus Militia-centred control,-0.122954946893805,-1.25275720883237,1.00684731504476,accepted two-stage estimate,
Agricultural expansion,20,primary spaced outer boundary,Park-centred control minus Militia-centred control,0.0675632057088041,-0.48063034861339,0.615756760030998,accepted two-stage estimate,
Agricultural expansion,25,dense outer gradient,Park-centred control minus Militia-centred control,0.332687126683612,-0.707661543615518,1.37303579698274,accepted two-stage estimate,
Agricultural expansion,30,dense outer gradient,Park-centred control minus Militia-centred control,0.808502375418765,0.278229527548444,1.33877522328909,accepted two-stage estimate,
Agricultural expansion,35,dense outer gradient,Park-centred control minus Militia-centred control,0.017887949595473,-0.251565545489288,0.287341444680234,accepted two-stage estimate,
Agricultural expansion,40,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.238074850372834,-0.786799157985172,0.310649457239505,accepted two-stage estimate,
Agricultural expansion,45,dense outer gradient,Park-centred control minus Militia-centred control,6.65353140000269e-07,-0.534093453609122,0.534094784315402,accepted two-stage estimate,
Agricultural expansion,50,dense outer gradient,Park-centred control minus Militia-centred control,-0.0892209807959559,-0.601187771249875,0.422745809657963,accepted two-stage estimate,
Agricultural expansion,55,dense outer gradient,Park-centred control minus Militia-centred control,-0.461463717718408,-1.01790432741564,0.0949768919788226,accepted two-stage estimate,
Agricultural expansion,60,primary spaced outer boundary,Park-centred control minus Militia-centred control,-0.0318431310860776,-0.405448809243813,0.341762547071657,accepted two-stage estimate,
Fire,-20,inner descriptive check,Militia-centred control minus Fragmented control,-0.165220284643166,-0.375402742296812,0.0449621730104807,strict-valid,
Fire,-15,inner descriptive check,Militia-centred control minus Fragmented control,-0.083578681681433,-0.24902268215744,0.0818653187945738,strict-valid,
Fire,0,legal boundary,Militia-centred control minus Fragmented control,-0.159579306386865,-0.246668519832352,-0.0724900929413787,strict-valid,
Fire,15,dense outer gradient,Militia-centred control minus Fragmented control,0.109251257010739,-0.0126346097737439,0.231137123795221,strict-valid,
