analysis_type,outcome,threshold,spatial_domain,boundary_id,boundary_center_km,boundary_family,analysis_set,profile_comparison,estimate,standard_error,lower_interval,upper_interval,fit_validity,source_file,outcome_label,comparison_label,Outcome,Comparison,accepted,valid_interval,fit_display_category
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park-centred control minus Fragmented control,0.273911369990669,0.301272941773902,-0.316572745402612,0.864395485383949,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Park-centred - Fragmented,Tree-cover loss,Park-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Militia-centred control minus Fragmented control,0.322287632240801,0.203280488703658,-0.0761348043780697,0.720710068859671,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Militia-centred - Fragmented,Tree-cover loss,Militia-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park-centred control minus Militia-centred control,-0.048376262250132,0.28045985316014,-0.598067473553398,0.501314949053135,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Park-centred - Militia-centred,Tree-cover loss,Park-centred control minus Militia-centred control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park-centred control minus Fragmented control,-0.345581946220086,0.323656406524105,-0.979936846372986,0.288772953932815,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Park-centred - Fragmented,Agricultural expansion,Park-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Militia-centred control minus Fragmented control,-0.269799359017974,0.276150458673518,-0.811044312332285,0.271445594296337,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Militia-centred - Fragmented,Agricultural expansion,Militia-centred control minus Fragmented control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,agriculture,tau025,limited_inner_checks,inner_c-015,-15,inner_pseudo,limited_inner_checks,Park-centred control minus Militia-centred control,-0.075782587202112,0.308373781894071,-0.680184093490902,0.528618919086678,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Park-centred - Militia-centred,Agricultural expansion,Park-centred control minus Militia-centred control,TRUE,TRUE,limited-support descriptive check
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park-centred control minus Fragmented control,-0.584172628184976,0.342445374778389,-1.25535322942294,0.0870079730529867,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Park-centred - Fragmented,Tree-cover loss,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Militia-centred control minus Fragmented control,-0.0517637594727072,0.389016633079405,-0.814222349695374,0.710694830749959,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Militia-centred - Fragmented,Tree-cover loss,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park-centred control minus Militia-centred control,-0.532408868712269,0.402431716726428,-1.32116053973269,0.256342802308155,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Park-centred - Militia-centred,Tree-cover loss,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,agriculture,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park-centred control minus Fragmented control,-0.633446962428786,0.311439815058039,-1.24385778329436,-0.0230361415632143,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Park-centred - Fragmented,Agricultural expansion,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,agriculture,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Militia-centred control minus Fragmented control,-0.0647296164837915,0.290673749570715,-0.634439696893608,0.504980463926025,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Militia-centred - Fragmented,Agricultural expansion,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,agriculture,tau025,actual_boundary,actual_c000,0,actual,actual_boundary,Park-centred control minus Militia-centred control,-0.568717345944994,0.22051748120104,-1.00092366706052,-0.136511024829467,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Agricultural expansion,Park-centred - Militia-centred,Agricultural expansion,Park-centred control minus Militia-centred control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Park-centred control minus Fragmented control,-0.782790487785151,0.19372582933364,-1.16248613615424,-0.403094839416062,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Park-centred - Fragmented,Tree-cover loss,Park-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
revised spatial pseudo-boundary falsification,tree_cover_loss,tau025,all_valid_outer,outer_c+015,15,outer_pseudo,all_valid_outer,Militia-centred control minus Fragmented control,-0.0141604143357168,0.261200181532354,-0.526103362894455,0.497782534223022,accepted two-stage estimate,analysis_spatial_falsification_revised_dev/tables/sparse_boundary_pairwise_differences.csv,Tree-cover loss,Militia-centred - Fragmented,Tree-cover loss,Militia-centred control minus Fragmented control,TRUE,TRUE,accepted/strict-valid fit
