Outcome,Diagnostic type,Scenario,Profile or comparison,Estimate,Lower 95%,Upper 95%,Domain,Model implementation,Interpretation
Tree-cover loss,transition-year shift,T5_omit_first_new_year,Militia-centred control,-2.05843928407606,-2.55450621628415,-1.56237235186796,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T5_omit_first_new_year,Park-centred control,-3.31610292142267,-3.80901882543645,-2.8231870174089,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_omit_first_new_year,Fragmented control,0.457194843547786,0.203589222701644,0.710800464393927,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_omit_first_new_year,Militia-centred control,0.110288273281659,-0.0881314313773819,0.308707977940701,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T5_omit_first_new_year,Park-centred control,-0.553716139820036,-0.789374489790864,-0.318057789849208,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_earlier,Fragmented control,0.199099875242077,0.0996698099704464,0.298529940513707,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_earlier,Militia-centred control,0.0350727929749668,-0.0830199761044834,0.153165562054417,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_earlier,Park-centred control,0.118612307899558,0.0138838709367103,0.223340744862407,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_earlier,Fragmented control,-0.937716888700049,-1.12572492219741,-0.749708855202688,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_earlier,Militia-centred control,-2.02646474483033,-2.52272864738039,-1.53020084228028,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_earlier,Park-centred control,-3.31722231813595,-3.81041101754859,-2.82403361872331,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_earlier,Fragmented control,0.457312668861605,0.203735387259869,0.710889950463341,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_earlier,Militia-centred control,0.110631779057721,-0.0877497411876081,0.309013299303049,complete landscape diagnostic,nlminb_default,sensitivity only
Agricultural expansion,transition-year shift,T6_earlier,Park-centred control,-0.553620588279547,-0.78927070472457,-0.317970471834525,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_later,Fragmented control,0.182633484674804,0.0753718772098428,0.289895092139765,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_later,Militia-centred control,0.0759715972626117,-0.034904080049921,0.186847274575144,complete landscape diagnostic,nlminb_default,sensitivity only
Fire,transition-year shift,T6_later,Park-centred control,0.118587433763468,0.012418693116801,0.224756174410135,complete landscape diagnostic,nlminb_default,sensitivity only
Tree-cover loss,transition-year shift,T6_later,Fragmented control,-0.905311152592472,-1.09396833281573,-0.716653972369215,complete landscape diagnostic,nlminb_default,sensitivity only
