cell,x,y,distance_to_park_boundary_km,signed_distance_km,side,in_primary_10km,authoritative_cluster,reproduced_cluster_raw,reproduced_cluster_clean,reproduced_cluster_matched,changed_by_despeckling_stage,connected_component,largest_component_share
187396,383250,8928250,2.91547583007813,2.91547583007813,outside,TRUE,1,3,3,3,FALSE,1,1
187400,385250,8928250,1.41421362304688,1.41421362304688,outside,TRUE,3,1,1,1,FALSE,1,1
189518,550250,8926250,65.8046328125,65.8046328125,outside,FALSE,3,1,1,1,FALSE,1,1
190072,380250,8925250,3.20156201171875,3.20156201171875,outside,TRUE,3,1,1,1,FALSE,1,1
190965,379750,8924250,3.16227758789063,3.16227758789063,outside,TRUE,1,3,3,3,FALSE,1,1
193348,453750,8921750,16.985287109375,16.985287109375,outside,FALSE,3,2,2,2,FALSE,1,1
194108,386750,8920750,3.20156201171875,-3.20156201171875,inside,TRUE,1,3,3,3,FALSE,1,1
196794,388750,8917750,0.707106811523437,0.707106811523437,outside,TRUE,3,1,1,1,FALSE,1,1
202034,550250,8912250,73.083859375,73.083859375,outside,FALSE,1,2,2,2,FALSE,1,1
203167,446250,8910750,16.56049609375,16.56049609375,outside,FALSE,2,3,3,3,FALSE,1,1
205221,355750,8908250,29.26175,29.26175,outside,FALSE,3,1,1,1,FALSE,1,1
205837,440250,8907750,13.82931640625,13.82931640625,outside,FALSE,3,2,2,2,FALSE,1,1
207004,353250,8906250,32.31098828125,32.31098828125,outside,FALSE,3,1,1,1,FALSE,1,1
209602,534750,8903750,66.86740625,66.86740625,outside,FALSE,2,1,1,1,FALSE,1,1
210049,534750,8903250,67.2346640625,67.2346640625,outside,FALSE,2,1,1,1,FALSE,1,1
214747,425250,8897750,13.2098447265625,13.2098447265625,outside,FALSE,3,2,2,2,FALSE,1,1
215196,426250,8897250,14.1509716796875,14.1509716796875,outside,FALSE,3,2,2,2,FALSE,1,1
215207,431750,8897250,17.691806640625,17.691806640625,outside,FALSE,2,3,3,3,FALSE,1,1
216293,527750,8896250,68.3703125,68.3703125,outside,FALSE,2,1,1,1,FALSE,1,1
216294,528250,8896250,68.6531171875,68.6531171875,outside,FALSE,2,1,1,1,FALSE,1,1
223012,534750,8888750,78.5254765625,78.5254765625,outside,FALSE,2,1,1,1,FALSE,1,1
223013,535250,8888750,78.8162421875,78.8162421875,outside,FALSE,2,1,1,1,FALSE,1,1
223445,527750,8888250,75.116578125,75.116578125,outside,FALSE,2,1,1,1,FALSE,1,1
225681,528250,8885750,77.5241875,77.5241875,outside,FALSE,2,1,1,1,FALSE,1,1
226128,528250,8885250,77.95671875,77.95671875,outside,FALSE,2,1,1,1,FALSE,1,1
226831,432750,8884250,28.65309765625,28.65309765625,outside,FALSE,3,2,2,2,FALSE,1,1
227074,554250,8884250,94.4311953125,94.4311953125,outside,FALSE,1,3,3,3,FALSE,1,1
227723,431750,8883250,29.0688828125,29.0688828125,outside,FALSE,3,2,2,2,FALSE,1,1
229301,550250,8881750,93.6055546875,93.6055546875,outside,FALSE,1,3,3,3,FALSE,1,1
230875,443250,8879750,38.34709765625,38.34709765625,outside,FALSE,3,2,2,2,FALSE,1,1
231519,541750,8879250,90.3244140625,90.3244140625,outside,FALSE,2,1,1,1,FALSE,1,1
232218,444250,8878250,40.14037890625,40.14037890625,outside,FALSE,3,2,2,2,FALSE,1,1
237137,445250,8872750,45.10543359375,45.10543359375,outside,FALSE,3,2,2,2,FALSE,1,1
237138,445750,8872750,45.4009921875,45.4009921875,outside,FALSE,3,2,2,2,FALSE,1,1
239548,533250,8870250,93.5,93.5,outside,FALSE,2,1,1,1,FALSE,1,1
239995,533250,8869750,93.94146875,93.94146875,outside,FALSE,2,1,1,1,FALSE,1,1
240444,534250,8869250,94.8538359375,94.8538359375,outside,FALSE,2,1,1,1,FALSE,1,1
240445,534750,8869250,95.0920625,95.0920625,outside,FALSE,2,1,1,1,FALSE,1,1
242939,440750,8866250,48.301140625,48.301140625,outside,FALSE,3,2,2,2,FALSE,1,1
242940,441250,8866250,48.53091796875,48.53091796875,outside,FALSE,3,2,2,2,FALSE,1,1
244784,469250,8864250,66.030296875,66.030296875,outside,FALSE,2,1,1,1,FALSE,1,1
245231,469250,8863750,66.4398203125,66.4398203125,outside,FALSE,2,1,1,1,FALSE,1,1
246074,443750,8862750,52.7944140625,52.7944140625,outside,FALSE,3,2,2,2,FALSE,1,1
246123,468250,8862750,66.7026953125,66.7026953125,outside,FALSE,2,1,1,1,FALSE,1,1
246128,470750,8862750,68.12121875,68.12121875,outside,FALSE,2,1,1,1,FALSE,1,1
247912,468750,8860750,68.6476484375,68.6476484375,outside,FALSE,2,1,1,1,FALSE,1,1
248319,448750,8860250,57.454328125,57.454328125,outside,FALSE,2,3,3,3,FALSE,1,1
248322,450250,8860250,58.251609375,58.251609375,outside,FALSE,2,3,3,3,FALSE,1,1
248363,470750,8860250,70.173,70.173,outside,FALSE,2,1,1,1,FALSE,1,1
248971,551250,8859750,111.7720859375,111.7720859375,outside,FALSE,2,1,1,1,FALSE,1,1
248972,551750,8859750,112.0502109375,112.0502109375,outside,FALSE,2,1,1,1,FALSE,1,1
249259,471750,8859250,71.56290625,71.56290625,outside,FALSE,2,1,1,1,FALSE,1,1
