run_id,outcome,governance_profile,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
lag_1__agriculture,agriculture,Neither actor dominant,0.252312328385233,0.164395490845607,-0.0698969128929413,0.574521569663407,1.28699794050724,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_1__agriculture,agriculture,Militia dominant,0.130478977814595,0.213200089827942,-0.287385519748875,0.548343475378064,1.13937398751058,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_1__agriculture,agriculture,Park dominant,-0.381513152873633,0.234509722241838,-0.841143762492126,0.0781174567448601,0.682827404856461,directly_matched,tau025,10,inverse_variance,primary,1,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_1
lag_2__fire,fire,Neither actor dominant,0.0601493514853469,0.0310397955766358,-0.000687529932344999,0.120986232903039,1.06199514525396,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__fire,fire,Militia dominant,0.110554670463383,0.0341278489010282,0.0436653157475432,0.177444025179223,1.11689740868191,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__fire,fire,Park dominant,0.0583845700084939,0.0373093534125064,-0.0147404189664951,0.131509558983483,1.06012260868803,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.925328119445026,0.178974952047811,-1.27611257959352,-0.574543659296533,0.396401330749252,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__tree_cover_loss,tree_cover_loss,Militia dominant,-1.3464509332465,0.266282134174662,-1.8683543259553,-0.824547540537696,0.260161956248266,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__tree_cover_loss,tree_cover_loss,Park dominant,-1.45554017474392,0.322613101416809,-2.08785023446163,-0.823230115026202,0.233274320965021,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__agriculture,agriculture,Neither actor dominant,0.30999083439695,0.143749226803173,0.0282475270572498,0.591734141736649,1.36341261757606,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__agriculture,agriculture,Militia dominant,0.125330358149119,0.212905585178301,-0.291956920907776,0.542617637206014,1.1335228597332,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
lag_2__agriculture,agriculture,Park dominant,-0.593885295474136,0.136536522061872,-0.861491961289764,-0.326278629658508,0.552177737960158,directly_matched,tau025,10,inverse_variance,primary,2,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,lag_2
transition_SESU1_2004_earlier__fire,fire,Neither actor dominant,0.149124381066578,0.0320334464882442,,,1.16081736393199,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__fire,fire,Militia dominant,0.0454291709448907,0.0330476746299423,,,1.04647688102025,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__fire,fire,Park dominant,0.0679192857968753,0.0318091884095026,,,1.07027891828235,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.816253388163381,0.240572828119312,-1.28776746693618,-0.344739309390586,0.442084876011755,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__tree_cover_loss,tree_cover_loss,Militia dominant,-1.00466389599735,0.310157331657047,-1.61256109558621,-0.396766696408494,0.366167684548518,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__tree_cover_loss,tree_cover_loss,Park dominant,-1.42813913732557,0.260590321290536,-1.93888678177474,-0.917391492876394,0.239754657882599,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__agriculture,agriculture,Neither actor dominant,0.306030585136533,0.248672906001829,-0.181359354557967,0.793420524831032,1.35802384125732,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__agriculture,agriculture,Militia dominant,0.211022366669476,0.134440909301438,-0.0524769736101573,0.47452170694911,1.23493997624677,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_earlier__agriculture,agriculture,Park dominant,-0.348964880510522,0.158778050483255,-0.660164140993184,-0.0377656200278598,0.705417903751584,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_earlier
transition_SESU1_2004_later__fire,fire,Neither actor dominant,0.171820703853921,0.0283583687503524,,,1.18746490624469,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_later
transition_SESU1_2004_later__fire,fire,Militia dominant,-0.00570770757637212,0.0339020925718525,,,0.994308550439809,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_later
transition_SESU1_2004_later__fire,fire,Park dominant,0.067789255571961,0.0300723036952453,,,1.07013975872156,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_later
transition_SESU1_2004_later__tree_cover_loss,tree_cover_loss,Neither actor dominant,-0.828275523755674,0.223103004109634,-1.26554937665325,-0.391001670858099,0.436801891695688,directly_matched,tau025,10,inverse_variance,transition_SESU1_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU1_2004_later
