SESU_ID,side,eligible_cells,events,cell_years,group_years,boundary_center_km,outcome,design_membership,median_abs_smd,max_abs_smd,maximum_overlap_with_another_center
1,outside,14261,153046,313742,22,45,fire,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
3,inside,5383,61501,118426,22,45,fire,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
3,outside,5829,75525,128238,22,45,fire,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
1,inside,13610,947,288592,22,45,tree_cover_loss,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
1,outside,14261,709,306830,22,45,tree_cover_loss,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
3,inside,5383,28,118311,22,45,tree_cover_loss,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
3,outside,5829,35,128052,22,45,tree_cover_loss,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
1,inside,13610,632,294148,22,45,agriculture,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
1,outside,14261,538,309394,22,45,agriculture,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
3,inside,5383,0,118426,22,45,agriculture,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
3,outside,5829,0,128238,22,45,agriculture,dense;non_adjacent,0.0924241152834036,0.210157723277877,0.610728063695313
1,inside,14389,157421,316558,22,50,fire,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
1,outside,13343,145537,293546,22,50,fire,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
3,inside,5524,68370,121528,22,50,fire,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
3,outside,6155,80170,135410,22,50,fire,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
1,inside,14389,857,307404,22,50,tree_cover_loss,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
1,outside,13343,762,286485,22,50,tree_cover_loss,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
3,inside,5524,21,121444,22,50,tree_cover_loss,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
3,outside,6155,55,135040,22,50,tree_cover_loss,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
1,inside,14389,590,312021,22,50,agriculture,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
1,outside,13343,352,290830,22,50,agriculture,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
3,inside,5524,0,121528,22,50,agriculture,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
3,outside,6155,0,135410,22,50,agriculture,dense;round_number,0.11854529491962,0.217053141113609,0.613567434855268
1,inside,14245,152866,313390,22,55,fire,dense;non_adjacent,0.115595647366502,0.195335416715084,0.613567434855268
