record_type,outcome,profile,omitted_episode,estimate,standard_error,conf_low,conf_high,fit_status,episode_id
profile,fire,Militia dominant,SESU3_2016_2022,0.0107833194943551,0.034032393473222,-0.055918946020856,0.0774855850095662,strict_valid,
profile,fire,Park dominant,SESU3_2016_2022,0.128674007904328,0.043535855492868,0.0433452991021667,0.21400271670649,strict_valid,
profile,tree_cover_loss,Neither actor dominant,SESU3_2016_2022,-0.731469696578015,0.212121080882671,-1.14721937546976,-0.315720017686271,valid,
profile,tree_cover_loss,Militia dominant,SESU3_2016_2022,-0.808899252037968,0.311079381867541,-1.41860363683133,-0.199194867244605,valid,
profile,tree_cover_loss,Park dominant,SESU3_2016_2022,-1.15708434446147,0.257035526795239,-1.66086471972742,-0.653303969195527,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU1_2001_2003,0.331105264159514,0.253446210455617,-0.165640180351655,0.827850708670682,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU1_2001_2003,0.897784718570382,0.276261569666228,0.356321991712073,1.43924744542869,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU1_2001_2003,0.566679454410869,0.21974619847663,0.135984819657084,0.997374089164653,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU1_2001_2003,0.120162250476941,0.0448104575656238,,,finite_not_strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU1_2001_2003,0.0630401288854138,0.0431553661335998,,,finite_not_strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU1_2001_2003,-0.0571221215915273,0.0433879075254851,,,finite_not_strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU1_2001_2003,-0.0546783482526769,0.343965873239012,-0.72883907171201,0.619482375206656,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU1_2001_2003,0.487509581979894,0.302168304134995,-0.104729411394242,1.07974857535403,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU1_2001_2003,0.542187930232571,0.403820160806177,-0.249285041178709,1.33366090164385,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU1_2004_2006,-0.0854783622161868,0.300186414588708,-0.673832923458264,0.50287619902589,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU1_2004_2006,0.63361376213764,0.311064551975369,0.0239384433988282,1.24328908087645,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU1_2004_2006,0.719092124353827,0.233094390810181,0.262235513367567,1.17594873534009,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU1_2004_2006,0.19678996650036,0.0486202425150965,,,finite_not_strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU1_2004_2006,0.102449953047109,0.042996391938405,,,finite_not_strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU1_2004_2006,-0.0943400134532509,0.0491268267495084,,,finite_not_strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU1_2004_2006,0.184748796282661,0.523131781060487,-0.840570653764186,1.21006824632951,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU1_2004_2006,0.592668124522298,0.343844972998051,-0.0812556388190295,1.26659188786363,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU1_2004_2006,0.407919328239637,0.521522169122353,-0.614245340379381,1.43008399685866,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU1_2007_2012,-0.501369778863039,0.370588472980035,-1.2277098389896,0.224970281263524,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU1_2007_2012,0.0716784778664669,0.384600561302963,-0.682124770721231,0.825481726454164,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU1_2007_2012,0.573048256729506,0.222420992748472,0.137111121536856,1.00898539192216,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU1_2007_2012,0.148743981419335,0.0518232888031973,0.0471722018046501,0.250315761034019,strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU1_2007_2012,0.0916281672100025,0.0502107025488092,-0.00678300142411692,0.190039335844122,strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU1_2007_2012,-0.057115814209332,0.0461906956667727,-0.147647914137057,0.0334162857183929,strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU1_2007_2012,0.613765070965327,1.0583367566953,-1.46053685567239,2.68806699760305,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU1_2007_2012,1.09454169077704,0.959142005569121,-0.785342096197956,2.97442547775203,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU1_2007_2012,0.48077661981171,0.408260428091958,-0.319399115561433,1.28095235518485,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU1_2013_2016,0.461530210738319,0.509459454228124,-0.536991971132235,1.46005239260887,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU1_2013_2016,0.633006331883272,0.31252760450037,0.0204634828879684,1.24554918087858,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU1_2013_2016,0.171476121144953,0.474967647485778,-0.759443361748887,1.10239560403879,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU1_2013_2016,0.206691856647586,0.0499109911244863,0.108868111610894,0.304515601684277,strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU1_2013_2016,0.102455799575774,0.042798342404496,0.0185725898649487,0.1863390092866,strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU1_2013_2016,-0.104236057071811,0.0503997851868544,-0.203017820866601,-0.00545429327702165,strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU1_2013_2016,-0.185540007639999,0.369367903204289,-0.909487794965483,0.538407779685485,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU1_2013_2016,0.569012928020967,0.341606966499095,-0.10052442318524,1.23855027922717,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU1_2013_2016,0.754552935660966,0.388828612496014,-0.00753714098990188,1.51664301231183,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU1_2017_2022,0.0670410399552822,0.292281219590866,-0.505819623800257,0.639901703710821,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU1_2017_2022,0.457041039520638,0.317514881527612,-0.165276692828983,1.07935877187026,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU1_2017_2022,0.389999999565356,0.32770387086479,-0.252287784923997,1.03228778405471,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU1_2017_2022,0.159772310881319,0.0389789663259823,0.0833749407277942,0.236169681034844,strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU1_2017_2022,0.202531894586438,0.0430997046088928,0.118058025808693,0.287005763364183,strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU1_2017_2022,0.042759583705119,0.0448914542280403,-0.0452260497954683,0.130745217205706,strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU1_2017_2022,0.0632087112836957,0.389448652064377,-0.700096620590154,0.826514043157546,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU1_2017_2022,0.811398282600736,0.612885587166134,-0.389835394888569,2.01263196009004,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU1_2017_2022,0.748189571317041,0.654816875385363,-0.535227920907324,2.0316070635414,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU3_2001_2003,0.0674073716487199,0.295486237812783,-0.511735012391573,0.646549755689013,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU3_2001_2003,0.636517721071287,0.317395357790129,0.0144342509424303,1.25860119120014,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU3_2001_2003,0.569110349422568,0.22094932767957,0.136057624762272,1.00216307408286,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU3_2001_2003,0.168754114920428,0.0468372916009859,0.0769547102490949,0.26055351959176,strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU3_2001_2003,0.111634868302129,0.0451295944058214,0.0231824886298192,0.20008724797444,strict_valid,
pairwise,fire,Militia dominant minus Park dominant,SESU3_2001_2003,-0.0571192466182982,0.0451039355327778,-0.145521335823559,0.0312828425869628,strict_valid,
pairwise,tree_cover_loss,Neither actor dominant minus Militia dominant,SESU3_2001_2003,0.0338041899406194,0.390428554791508,-0.731421715986759,0.799030095867998,valid,
pairwise,tree_cover_loss,Neither actor dominant minus Park dominant,SESU3_2001_2003,0.551283381849349,0.34542127148082,-0.125729869747091,1.22829663344579,valid,
pairwise,tree_cover_loss,Militia dominant minus Park dominant,SESU3_2001_2003,0.51747919190873,0.401018233112523,-0.268502102135702,1.30346048595316,valid,
pairwise,agriculture,Neither actor dominant minus Militia dominant,SESU3_2004_2006,0.0637968201433704,0.293435570082381,-0.511326329001074,0.638919969287815,valid,
pairwise,agriculture,Neither actor dominant minus Park dominant,SESU3_2004_2006,0.633420132190822,0.311714174800065,0.0224715761120712,1.24436868826957,valid,
pairwise,agriculture,Militia dominant minus Park dominant,SESU3_2004_2006,0.569623312047451,0.223314123810384,0.131935672139981,1.00731095195492,valid,
pairwise,fire,Neither actor dominant minus Militia dominant,SESU3_2004_2006,0.126665467105234,0.048169384240206,,,finite_not_strict_valid,
pairwise,fire,Neither actor dominant minus Park dominant,SESU3_2004_2006,0.10244497494445,0.0431382105645141,,,finite_not_strict_valid,
