run_id,outcome,profile_comparison,estimate,standard_error,conf_low,conf_high,odds_ratio,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id
domain_20km__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.0240271016441642,0.276004831887241,-0.51693242841386,0.564986631702188,1.02431807821851,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__agriculture,agriculture,Neither actor dominant minus Park dominant,0.754511829086305,0.30809352268948,0.150659620744849,1.35836403742776,2.12657313876915,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_20km__agriculture,agriculture,Militia dominant minus Park dominant,0.730484727442141,0.229692263616153,0.280296163227002,1.18067329165728,2.0760867000099,directly_matched,tau025,20,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_20km
domain_full__fire,fire,Neither actor dominant minus Militia dominant,0.138191192813422,0.0775265431654399,-0.01375803963673,0.290140425263574,1.14819505593266,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__fire,fire,Neither actor dominant minus Park dominant,0.0810793305419779,0.0742513480123505,-0.0644506373657788,0.226609298449735,1.08445692370993,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__fire,fire,Militia dominant minus Park dominant,-0.0571118622714441,0.0783352400361509,-0.2106461114626,0.0964223869197117,0.944488410838043,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,0.615625381298696,0.432086964518633,-0.23124950734706,1.46250026994445,1.8508137019821,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,1.43214167412954,0.369682654634195,0.707576985337362,2.15670636292173,4.1876581940849,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.816516292830847,0.460941656194205,-0.0869127522840374,1.71994533794573,2.26260384262349,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.398847085827351,0.305928649829092,-0.200762049676636,0.998456221331338,1.4901057428983,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__agriculture,agriculture,Neither actor dominant minus Park dominant,1.13590102080962,0.321029848222299,0.506694080331551,1.76510796128768,3.11397803827422,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
domain_full__agriculture,agriculture,Militia dominant minus Park dominant,0.737053934982266,0.21487166657831,0.31591320719068,1.15819466277385,2.08976983889576,directly_matched,tau025,Inf,inverse_variance,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,domain_full
weight_unweighted__fire,fire,Neither actor dominant minus Militia dominant,0.159579306386865,0.0444340886528708,0.0724900929413787,0.246668519832352,1.17301728629468,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__fire,fire,Neither actor dominant minus Park dominant,0.102460211716044,0.0426402589370402,0.0188868399079833,0.186033583524105,1.10789321986281,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__fire,fire,Militia dominant minus Park dominant,-0.0571190946708212,0.0449781665061582,-0.145274681113537,0.0310364917718946,0.944481579945351,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Militia dominant,-0.000534899310654348,0.435019016756456,-0.853156504743334,0.852086706122026,0.999465243722478,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__tree_cover_loss,tree_cover_loss,Neither actor dominant minus Park dominant,0.880404388682804,0.400006306463833,0.0964064344248007,1.66440234294081,2.4118748441279,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__tree_cover_loss,tree_cover_loss,Militia dominant minus Park dominant,0.880939287993459,0.476049392339625,-0.052100375854384,1.8139789518413,2.41316529942046,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__agriculture,agriculture,Neither actor dominant minus Militia dominant,0.294361460846291,0.327883755204318,-0.348278890469919,0.937001812162501,1.34226899367757,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__agriculture,agriculture,Neither actor dominant minus Park dominant,0.525932329378657,0.199265691628775,0.135378750431793,0.91648590832552,1.69203564776082,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
weight_unweighted__agriculture,agriculture,Militia dominant minus Park dominant,0.231570868532365,0.296148132090194,-0.348868804453226,0.812010541517957,1.26057865877163,directly_matched,tau025,10,unweighted,primary,0,,final_robustness_v1,43e09c19323d23af085aacc87203ea5b799c83fe,weight_unweighted
