run_id,outcome,model,fit_status,warning_messages,convergence_code,pdHess,maximum_absolute_gradient,model_matrix_rank,model_matrix_columns,comparison_class,threshold_tag,corridor_km,weighting,chronology_version,lag,omitted_episode,pipeline_version,pipeline_commit,robustness_run_id,n_observations,rank,zero_corrected
transition_SESU3_2004_later__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2004_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2004_later,44,4,23
transition_SESU3_2007_earlier__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00220291641221593,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2007_earlier,,,
transition_SESU3_2007_earlier__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2007_earlier,44,4,23
transition_SESU3_2007_earlier__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2007_earlier,44,4,23
transition_SESU3_2007_later__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.000637378294186419,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2007_later,,,
transition_SESU3_2007_later__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2007_later,44,4,23
transition_SESU3_2007_later__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2007_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2007_later,44,4,23
transition_SESU3_2011_earlier__fire,fire,beta_binomial_logit,strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00037157171310076,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2011_earlier,,,
transition_SESU3_2011_earlier__tree_cover_loss,tree_cover_loss,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2011_earlier,44,4,23
transition_SESU3_2011_earlier__agriculture,agriculture,inverse_variance_weighted_lm_hc3,valid,"",,,,,,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_earlier,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2011_earlier,44,4,23
transition_SESU3_2011_later__fire,fire,beta_binomial_logit,finite_not_strict_valid,"Model convergence problem; false convergence (8). See vignette('troubleshooting'), help('diagnose')",0,TRUE,0.00371500179418582,47,47,directly_matched,tau025,10,inverse_variance,transition_SESU3_2011_later,0,,final_robustness_v1,ffa5662940ca2b20bb6d7d0e6e81747502ec5a1f,transition_SESU3_2011_later,,,
