analysis,SESU_ID,side,year,governance_profile,n,y,outcome,landscape_group
persistence_corrected,3,inside,2009,Neither actor dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2009,Neither actor dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2009,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2010,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_full,3,inside,2010,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2010,Neither actor dominant,11987,0,agriculture,Plateau
first_crossing_restricted,3,inside,2010,Neither actor dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2010,Neither actor dominant,11987,0,agriculture,Plateau
persistence_corrected,3,inside,2010,Neither actor dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2010,Neither actor dominant,11987,4,agriculture,Plateau
annual_presence,3,inside,2010,Neither actor dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2011,Park dominant,11987,1,agriculture,Plateau
first_crossing_full,3,inside,2011,Park dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2011,Park dominant,11987,1,agriculture,Plateau
first_crossing_restricted,3,inside,2011,Park dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2011,Park dominant,11987,1,agriculture,Plateau
persistence_corrected,3,inside,2011,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2011,Park dominant,11987,5,agriculture,Plateau
annual_presence,3,inside,2011,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2012,Park dominant,11986,0,agriculture,Plateau
first_crossing_full,3,inside,2012,Park dominant,12936,0,agriculture,Plateau
first_crossing_restricted,3,outside,2012,Park dominant,11986,0,agriculture,Plateau
first_crossing_restricted,3,inside,2012,Park dominant,12936,0,agriculture,Plateau
persistence_corrected,3,outside,2012,Park dominant,11986,0,agriculture,Plateau
persistence_corrected,3,inside,2012,Park dominant,12936,0,agriculture,Plateau
annual_presence,3,outside,2012,Park dominant,11987,5,agriculture,Plateau
annual_presence,3,inside,2012,Park dominant,12936,0,agriculture,Plateau
first_crossing_full,3,outside,2013,Militia dominant,11986,0,agriculture,Plateau
first_crossing_full,3,inside,2013,Militia dominant,12936,0,agriculture,Plateau
