analysis,governance_profile,estimate,replicate
annual_presence,Neither actor dominant,-0.54807617446649,41
annual_presence,Militia dominant,-0.44701025401328,41
annual_presence,Park dominant,-0.508985622826951,41
first_crossing_full,Neither actor dominant,0.306293242428002,42
first_crossing_full,Militia dominant,0.0581361758815081,42
first_crossing_full,Park dominant,-0.448138194356307,42
first_crossing_restricted,Neither actor dominant,0.214208880419227,42
first_crossing_restricted,Militia dominant,-0.0390385402959224,42
first_crossing_restricted,Park dominant,-0.229617564090443,42
persistence_corrected,Neither actor dominant,0.267758839957579,42
persistence_corrected,Militia dominant,-0.0391094161410521,42
persistence_corrected,Park dominant,-0.338494872374981,42
annual_presence,Neither actor dominant,-1.86488153874432,42
annual_presence,Militia dominant,-1.71543654894705,42
annual_presence,Park dominant,-1.59360500966907,42
first_crossing_full,Neither actor dominant,0.548220969664621,43
first_crossing_full,Militia dominant,0.276481103388842,43
first_crossing_full,Park dominant,-0.223899352949755,43
first_crossing_restricted,Neither actor dominant,0.468019666502794,43
first_crossing_restricted,Militia dominant,0.189696605448926,43
first_crossing_restricted,Park dominant,0.0559209361538879,43
persistence_corrected,Neither actor dominant,0.510575115945409,43
persistence_corrected,Militia dominant,0.223706441350441,43
persistence_corrected,Park dominant,-0.0483559534815499,43
annual_presence,Neither actor dominant,-0.101570651636213,43
annual_presence,Militia dominant,0.0422453501749029,43
annual_presence,Park dominant,0.0818476882677772,43
first_crossing_full,Neither actor dominant,-0.0667308506686829,44
first_crossing_full,Militia dominant,-0.00107591315637057,44
first_crossing_full,Park dominant,-0.100441034757423,44
first_crossing_restricted,Neither actor dominant,-0.128337474164804,44
first_crossing_restricted,Militia dominant,-0.0679041374369017,44
first_crossing_restricted,Park dominant,0.070780896244225,44
persistence_corrected,Neither actor dominant,-0.0995409251315708,44
persistence_corrected,Militia dominant,-0.0726727561303738,44
persistence_corrected,Park dominant,0.0219633319157297,44
annual_presence,Neither actor dominant,-2.10004189649461,44
annual_presence,Militia dominant,-1.95122483067853,44
annual_presence,Park dominant,-1.74615029259259,44
first_crossing_full,Neither actor dominant,0.31396183158435,45
first_crossing_full,Militia dominant,0.259623366833361,45
first_crossing_full,Park dominant,-0.351812670395463,45
first_crossing_restricted,Neither actor dominant,0.256218990921103,45
first_crossing_restricted,Militia dominant,0.193258425392946,45
first_crossing_restricted,Park dominant,-0.284814982791711,45
