cell,SESU_ID,signed_distance_km,side,event_year,x_m,y_m,in_10km,old_event_year,old_side,old_distance,old_in_10km,matches
6134,1,67.5018515625,outside,2013,493250,9131250,FALSE,2013,outside,67.5018515625,FALSE,TRUE
6135,1,67.50740625,outside,2014,493750,9131250,FALSE,2014,outside,67.50740625,FALSE,TRUE
6137,1,67.529625,outside,2016,494750,9131250,FALSE,2016,outside,67.529625,FALSE,TRUE
6139,1,67.36653125,outside,2021,495750,9131250,FALSE,2021,outside,67.36653125,FALSE,TRUE
6528,1,67,outside,2010,466750,9130750,FALSE,2010,outside,67,FALSE,TRUE
6574,1,67.046625,outside,2001,489750,9130750,FALSE,2001,outside,67.046625,FALSE,TRUE
6578,1,67.0018671875,outside,2005,491750,9130750,FALSE,2005,outside,67.0018671875,FALSE,TRUE
6581,1,67.0018671875,outside,2012,493250,9130750,FALSE,2012,outside,67.0018671875,FALSE,TRUE
6582,1,67.0074609375,outside,2008,493750,9130750,FALSE,2008,outside,67.0074609375,FALSE,TRUE
6583,1,67.0167890625,outside,2015,494250,9130750,FALSE,2015,outside,67.0167890625,FALSE,TRUE
6584,1,67.02984375,outside,2014,494750,9130750,FALSE,2014,outside,67.02984375,FALSE,TRUE
6585,1,66.9794765625,outside,2016,495250,9130750,FALSE,2016,outside,66.9794765625,FALSE,TRUE
6788,1,101.4149921875,outside,2001,373250,9130250,FALSE,2001,outside,101.4149921875,FALSE,TRUE
6861,1,77.435453125,outside,2018,409750,9130250,FALSE,2018,outside,77.435453125,FALSE,TRUE
6862,1,77.175125,outside,2018,410250,9130250,FALSE,2018,outside,77.175125,FALSE,TRUE
6988,1,66.8169140625,outside,2021,473250,9130250,FALSE,2021,outside,66.8169140625,FALSE,TRUE
6999,1,67.57403125,outside,2018,478750,9130250,FALSE,2018,outside,67.57403125,FALSE,TRUE
7027,1,66.5,outside,2001,492750,9130250,FALSE,2001,outside,66.5,FALSE,TRUE
7028,1,66.5018828125,outside,2014,493250,9130250,FALSE,2014,outside,66.5018828125,FALSE,TRUE
7029,1,66.507515625,outside,2004,493750,9130250,FALSE,2004,outside,66.507515625,FALSE,TRUE
7032,1,66.4906015625,outside,2014,495250,9130250,FALSE,2014,outside,66.4906015625,FALSE,TRUE
7033,1,66.387125,outside,2016,495750,9130250,FALSE,2016,outside,66.387125,FALSE,TRUE
7471,1,66.007578125,outside,2005,491250,9129750,FALSE,2005,outside,66.007578125,FALSE,TRUE
7479,1,66.001890625,outside,2005,495250,9129750,FALSE,2005,outside,66.001890625,FALSE,TRUE
7480,1,65.8976484375,outside,2017,495750,9129750,FALSE,2017,outside,65.8976484375,FALSE,TRUE
7875,1,65.5686640625,outside,2001,469750,9129250,FALSE,2001,outside,65.5686640625,FALSE,TRUE
7891,1,66.4172421875,outside,2022,477750,9129250,FALSE,2022,outside,66.4172421875,FALSE,TRUE
7916,1,65.53052734375,outside,2006,490250,9129250,FALSE,2006,outside,65.53052734375,FALSE,TRUE
7918,1,65.5076328125,outside,2010,491250,9129250,FALSE,2010,outside,65.5076328125,FALSE,TRUE
7919,1,65.50191015625,outside,2001,491750,9129250,FALSE,2001,outside,65.50191015625,FALSE,TRUE
7921,1,65.5,outside,2002,492750,9129250,FALSE,2002,outside,65.5,FALSE,TRUE
7927,1,65.40833203125,outside,2007,495750,9129250,FALSE,2007,outside,65.40833203125,FALSE,TRUE
7928,1,65.30696875,outside,2009,496250,9129250,FALSE,2009,outside,65.30696875,FALSE,TRUE
7992,1,66.483078125,outside,2009,528250,9129250,FALSE,2009,outside,66.483078125,FALSE,TRUE
